fileIdentifier,source,license,fileType,sha256,metadata,source_norm,fileType_norm
https://sketchfab.com/3d-models/4ee58f7bf0054c5499a7f766fc7d84f8,sketchfab,Creative Commons - Attribution,glb,a7eff239ef803c0abb41388b1794c2f857bf925f38deaeb5d3684f548e4466b2,{},sketchfab,glb
https://sketchfab.com/3d-models/d4ca1a1cc4fc4aea9df617054eae4378,sketchfab,Creative Commons - Attribution - Non-Commercial - Share Alike,glb,86a18679d774f32cfd151b36f301d6172f72e6e667c15f04b8add3dd10874058,{},sketchfab,glb
https://sketchfab.com/3d-models/769596ba3d3a40eb97a7927bc47c2b35,sketchfab,Creative Commons - Attribution,glb,27acd20e9f6e8e97d9a9713c6718e80e346908b27cbe041a3d1abbd4808bc644,{},sketchfab,glb
https://sketchfab.com/3d-models/c8222fc7d33644d2b133cb6d13c8e461,sketchfab,Creative Commons - Attribution,glb,9745fb6395b5b11a138851f039a1da86eb8125f549b733c17f4fc28979c4acfc,{},sketchfab,glb
https://sketchfab.com/3d-models/fd7ca12b0a904a7d86ea2f7d3973afd3,sketchfab,Creative Commons - Attribution,glb,145c069436681d5399e9c83172b25ab85aa208cd655d745e010d7899d6c45854,{},sketchfab,glb
https://sketchfab.com/3d-models/cd926625c81244209e33bd8ad936d084,sketchfab,Creative Commons - Attribution,glb,807cb364ecc478d9c02b73bfeb761d3a7b77f17d671e2db944f443481a3e7544,{},sketchfab,glb
https://sketchfab.com/3d-models/6e16414ddbde443b9b8ed815b17e9930,sketchfab,Creative Commons - Attribution,glb,b78816cc9e0f5d6e2e204d58bf57f30d3b2c514952ca4566964b36b712212d2b,{},sketchfab,glb
https://sketchfab.com/3d-models/4aaa38c0308c4280ac0d162c1af9514d,sketchfab,Creative Commons - Attribution,glb,7a94130416bb01f4eadb00f6703c892751ff1157c50420429200b5be6949f751,{},sketchfab,glb
https://sketchfab.com/3d-models/4a8228dee4f74585b673acef407c59b3,sketchfab,Creative Commons - Attribution,glb,463edd01717a426329f5d64ca3c866ffbf186b1ba5383f06d89dc64bfe6f042d,{},sketchfab,glb
https://sketchfab.com/3d-models/bf34b37142544ff8ae643c0190b27dbe,sketchfab,Creative Commons - Attribution,glb,3d236647d6301073b827409b7151548fde2b944d6c37e94e9fbddb9cefefb26d,{},sketchfab,glb
https://sketchfab.com/3d-models/1bea822f4c284aa584bde94bed489234,sketchfab,Creative Commons - Attribution,glb,03e62e24bd80f8cbcb73957b794713cae600daac71cf44f275f06d36444b007a,{},sketchfab,glb
https://sketchfab.com/3d-models/54e4d77b41e0407ba08dac83b30e855c,sketchfab,Creative Commons - Attribution,glb,8aae57e205bae2272a507785ccc33580df76a65e31cd29d37a7a6eacff70e359,{},sketchfab,glb
https://sketchfab.com/3d-models/98d057e20eef4cfdad5e696ac133979e,sketchfab,Creative Commons - Attribution - Non-Commercial - Share Alike,glb,f6179c4caada7f32a046c6b1c5769c09e3c6849a4d275ee91c391d810679330d,{},sketchfab,glb
https://sketchfab.com/3d-models/86e0fb21f564469f96549e3f7393395e,sketchfab,Creative Commons - Attribution,glb,425049dc531a47bfa37d309d119773e7d345b7594e176d63bdae7bf0c134b32e,{},sketchfab,glb
https://sketchfab.com/3d-models/ee0732f7253d49ecbc69934ff8aaf1c7,sketchfab,Creative Commons - Attribution,glb,f14354768e08d98df4a9fb843d3ef22d067198c630c140c0d4df5a61b72b338c,{},sketchfab,glb
https://sketchfab.com/3d-models/179a36b35cd148948e36ebd3d983ec88,sketchfab,Creative Commons - Attribution,glb,403d49e88bfca994c73dced90852d71fdde8d7d15279bc5de0dc883c53f1a5ae,{},sketchfab,glb
https://sketchfab.com/3d-models/594c2a3147484c529e161742b5b0b135,sketchfab,Creative Commons - Attribution,glb,7f6e5a99f88db5d6feff3a18a0c259f20f4f6040f135fb40a8a6ae76241abead,{},sketchfab,glb
https://sketchfab.com/3d-models/2123888cf474412881859c33829507b7,sketchfab,Creative Commons - Attribution - Non-Commercial,glb,f5c3a1bb3803d9d1311aa8bafac660f3479d836ab70efbc17942e2bd1fde04de,{},sketchfab,glb
https://sketchfab.com/3d-models/928bf29a00354054b46f19f3dce151da,sketchfab,Creative Commons - Attribution,glb,084969f7d7d1a31611c02d45545fbef4c2ab874d3467c6401c11b77b77af0eac,{},sketchfab,glb
https://sketchfab.com/3d-models/3b1c85cfe5b247c9956eb6ba38f9e666,sketchfab,Creative Commons - Attribution,glb,5318da16637bea4bde10cca0152b245c0be2ead38e73a2a68a7f55c63ce56d9d,{},sketchfab,glb
https://sketchfab.com/3d-models/3ad582d2dc9e4cc3b0a74811fd5b67e8,sketchfab,Creative Commons - Attribution,glb,8953f047d23008a0a50617d32ff1df892b5bbe7ed767cb4baa8691acf5621db0,{},sketchfab,glb
https://sketchfab.com/3d-models/292cfa81a00048a2a1660d0e631b1635,sketchfab,Creative Commons - Attribution,glb,8a7bb94f87c44b64fd3b2993605392e817361a7b45d701bff4e9425c08db3c60,{},sketchfab,glb
https://sketchfab.com/3d-models/f3eabd7055594689beca8f8f171bed29,sketchfab,Creative Commons - Attribution,glb,da3a6ae813a7fe38b8c7be31357e98868b52833bd58373777ab12c6e93d64d2e,{},sketchfab,glb
https://sketchfab.com/3d-models/3bc142dddd504c75bcfc7e2d067ff729,sketchfab,Creative Commons - Attribution,glb,29381ac6cafa8c86e9982a511a782ec78289a38556594ac47da13980c99c89e6,{},sketchfab,glb
https://sketchfab.com/3d-models/eeb4fe82421942e4be7f33eb4c8d193b,sketchfab,Creative Commons - Attribution,glb,a83b11f9e494d64254b988d05aa25aee33bad82f3574a5b7a5afd54bfa7da5a0,{},sketchfab,glb
https://sketchfab.com/3d-models/4304c9d50ce44dde95b95589c91a4211,sketchfab,Creative Commons - Attribution,glb,6da0f7a8b11c370457d134ddc978775b4e3c18d20d6a340cd240ef19700ec33c,{},sketchfab,glb
https://sketchfab.com/3d-models/462e5f35fd9d467fb9ac7abc2dd80d04,sketchfab,Creative Commons - Attribution,glb,72ea16581dd030c0dc2c985be9a36d13cea46e806c6f38111accf86758dacb0d,{},sketchfab,glb
https://sketchfab.com/3d-models/afc83446f33740ff805bdc6ab9ddbd07,sketchfab,Creative Commons - Attribution,glb,c1f1a81b4ead1e58a40c470f54e1cae2a7f064f60dba924cbb4b4d094b663800,{},sketchfab,glb
https://sketchfab.com/3d-models/eef3bd8d77ec4b92834e730927b7be12,sketchfab,Creative Commons - Attribution,glb,da3d719f9ea7a4d2ccef0097ec1c14f870eda02d0ecb97f5fbefaab08f936cd1,{},sketchfab,glb
https://sketchfab.com/3d-models/0dfc7c5654e945daac9bd0ab195b24ee,sketchfab,Creative Commons - Attribution,glb,177d5de712c0e3d613779ab8a93215793006751d0619111646b33977de21a781,{},sketchfab,glb
https://sketchfab.com/3d-models/9014216b55bf45b589bf6bff5892b95b,sketchfab,Creative Commons - Attribution,glb,0dd2a8dd0b76f83c31f09cf71aa56d3781b3d3e1dca7f52dd04006af6fa11c27,{},sketchfab,glb
https://sketchfab.com/3d-models/d193887f6151412f92f33ac3ef91f783,sketchfab,Creative Commons - Attribution,glb,48b3bb98e229c11f37f2faa29649fa9f56bf3aac8e7d3885948e63603b7b93db,{},sketchfab,glb
https://sketchfab.com/3d-models/67066de38e1a429792eafdb84ebbb34b,sketchfab,Creative Commons - Attribution,glb,b415cce2d4eccb7c8c5de06bf0a6cee5c38e88c63c89dad9f104b33200a4016b,{},sketchfab,glb
https://sketchfab.com/3d-models/28e28d3a18c4429e872c0970f4f57650,sketchfab,Creative Commons - Attribution,glb,492eeff20d818b370b8dcd87ddbac7f974a1623430991bbdb49bd9b3108de453,{},sketchfab,glb
https://sketchfab.com/3d-models/3975c389f4774c8f80a328ffdf419f74,sketchfab,Creative Commons - Attribution,glb,be0a28171c5a8aa9ac8689337472279a2186a0b7b03bd1d2a70a0520e7706a18,{},sketchfab,glb
https://sketchfab.com/3d-models/20ad7767b65b40499e33866fa3762d42,sketchfab,Creative Commons - Attribution,glb,7ef832c4b0a6f3475bbf15b1019be8de68a388e937788a1ab8996cf8c35023aa,{},sketchfab,glb
https://sketchfab.com/3d-models/da8ba43e7ebd4f7bb715ce70951d3235,sketchfab,Creative Commons - Attribution - Non-Commercial - Share Alike,glb,10342cf2910653831b78b78663620f25500b9fb4a026cb5121cc1be9563b2728,{},sketchfab,glb
https://sketchfab.com/3d-models/621cceadac024b498ef7047e958cc336,sketchfab,Creative Commons - Attribution,glb,b4b6a1e4b4974ce8d1f04bb2ae2a7b54986cdc8e951a685d752c7046db9ba86b,{},sketchfab,glb
https://sketchfab.com/3d-models/d87fff4c053b457b9f3d6462ba5a42ab,sketchfab,Creative Commons - Attribution,glb,d379d7df5e3079e568cd4423c8ce883a65f8da6b0313c163409f99a594669d89,{},sketchfab,glb
https://sketchfab.com/3d-models/dfe34dcbae4e4201845297503b8c0f47,sketchfab,Creative Commons - Attribution,glb,652333c23025565ca3a93785c698641217459f0d6266293fab94d19cf1c842b8,{},sketchfab,glb
https://sketchfab.com/3d-models/47148b3c324c441ab31357a65f794135,sketchfab,Creative Commons - Attribution,glb,049b0e9886ff7f738704ed0099dec81fc9ee69165e4572b56c43db63208578fa,{},sketchfab,glb
https://sketchfab.com/3d-models/a8e191a5bbef43acad5be450a7f7ab11,sketchfab,Creative Commons - Attribution,glb,2fdc5abea1692b8586e15c25de43fb7110eeb6d82f2a6de88c812d8385c23b4e,{},sketchfab,glb
https://sketchfab.com/3d-models/ccccdd670c96478a99b6b2986bf80d45,sketchfab,Creative Commons - Attribution,glb,3300d52d48d864cf99e6e8360e6d77b8ec644ad76f3c8efb77b08fd6214cc38e,{},sketchfab,glb
https://sketchfab.com/3d-models/0a57506a649c40fab334c923d27d951a,sketchfab,Creative Commons - Attribution,glb,1a9f26944a401d7e46eef2f6e34f091de25cfda190e4f6e13a8c414306851d53,{},sketchfab,glb
https://sketchfab.com/3d-models/2d21bdc435f349589a7031b36cd69e8c,sketchfab,Creative Commons - Attribution - Share Alike,glb,beb6eb5d431412919fce0beb72beedfcd3e293520ec1cb1fbf049769715e9aea,{},sketchfab,glb
