fileIdentifier,local_path,source,fileType,license,sha256
https://sketchfab.com/3d-models/4ee58f7bf0054c5499a7f766fc7d84f8,/workspace/data/objaverse_xl/hf-objaverse-v1/glbs/000-118/4ee58f7bf0054c5499a7f766fc7d84f8.glb,sketchfab,glb,Creative Commons - Attribution,a7eff239ef803c0abb41388b1794c2f857bf925f38deaeb5d3684f548e4466b2
https://sketchfab.com/3d-models/d4ca1a1cc4fc4aea9df617054eae4378,/workspace/data/objaverse_xl/hf-objaverse-v1/glbs/000-154/d4ca1a1cc4fc4aea9df617054eae4378.glb,sketchfab,glb,Creative Commons - Attribution - Non-Commercial - Share Alike,86a18679d774f32cfd151b36f301d6172f72e6e667c15f04b8add3dd10874058
https://sketchfab.com/3d-models/769596ba3d3a40eb97a7927bc47c2b35,/workspace/data/objaverse_xl/hf-objaverse-v1/glbs/000-086/769596ba3d3a40eb97a7927bc47c2b35.glb,sketchfab,glb,Creative Commons - Attribution,27acd20e9f6e8e97d9a9713c6718e80e346908b27cbe041a3d1abbd4808bc644
https://sketchfab.com/3d-models/c8222fc7d33644d2b133cb6d13c8e461,/workspace/data/objaverse_xl/hf-objaverse-v1/glbs/000-119/c8222fc7d33644d2b133cb6d13c8e461.glb,sketchfab,glb,Creative Commons - Attribution,9745fb6395b5b11a138851f039a1da86eb8125f549b733c17f4fc28979c4acfc
https://sketchfab.com/3d-models/fd7ca12b0a904a7d86ea2f7d3973afd3,/workspace/data/objaverse_xl/hf-objaverse-v1/glbs/000-008/fd7ca12b0a904a7d86ea2f7d3973afd3.glb,sketchfab,glb,Creative Commons - Attribution,145c069436681d5399e9c83172b25ab85aa208cd655d745e010d7899d6c45854
https://sketchfab.com/3d-models/cd926625c81244209e33bd8ad936d084,/workspace/data/objaverse_xl/hf-objaverse-v1/glbs/000-123/cd926625c81244209e33bd8ad936d084.glb,sketchfab,glb,Creative Commons - Attribution,807cb364ecc478d9c02b73bfeb761d3a7b77f17d671e2db944f443481a3e7544
https://sketchfab.com/3d-models/6e16414ddbde443b9b8ed815b17e9930,/workspace/data/objaverse_xl/hf-objaverse-v1/glbs/000-023/6e16414ddbde443b9b8ed815b17e9930.glb,sketchfab,glb,Creative Commons - Attribution,b78816cc9e0f5d6e2e204d58bf57f30d3b2c514952ca4566964b36b712212d2b
https://sketchfab.com/3d-models/4aaa38c0308c4280ac0d162c1af9514d,/workspace/data/objaverse_xl/hf-objaverse-v1/glbs/000-156/4aaa38c0308c4280ac0d162c1af9514d.glb,sketchfab,glb,Creative Commons - Attribution,7a94130416bb01f4eadb00f6703c892751ff1157c50420429200b5be6949f751
https://sketchfab.com/3d-models/4a8228dee4f74585b673acef407c59b3,/workspace/data/objaverse_xl/hf-objaverse-v1/glbs/000-100/4a8228dee4f74585b673acef407c59b3.glb,sketchfab,glb,Creative Commons - Attribution,463edd01717a426329f5d64ca3c866ffbf186b1ba5383f06d89dc64bfe6f042d
https://sketchfab.com/3d-models/bf34b37142544ff8ae643c0190b27dbe,/workspace/data/objaverse_xl/hf-objaverse-v1/glbs/000-046/bf34b37142544ff8ae643c0190b27dbe.glb,sketchfab,glb,Creative Commons - Attribution,3d236647d6301073b827409b7151548fde2b944d6c37e94e9fbddb9cefefb26d
https://sketchfab.com/3d-models/1bea822f4c284aa584bde94bed489234,/workspace/data/objaverse_xl/hf-objaverse-v1/glbs/000-012/1bea822f4c284aa584bde94bed489234.glb,sketchfab,glb,Creative Commons - Attribution,03e62e24bd80f8cbcb73957b794713cae600daac71cf44f275f06d36444b007a
https://sketchfab.com/3d-models/54e4d77b41e0407ba08dac83b30e855c,/workspace/data/objaverse_xl/hf-objaverse-v1/glbs/000-136/54e4d77b41e0407ba08dac83b30e855c.glb,sketchfab,glb,Creative Commons - Attribution,8aae57e205bae2272a507785ccc33580df76a65e31cd29d37a7a6eacff70e359
