fileIdentifier,local_path,source,fileType,license,sha256
https://sketchfab.com/3d-models/d70d196ef78c429a83883f0a176fbc68,/workspace/data/objaverse_xl/hf-objaverse-v1/glbs/000-143/d70d196ef78c429a83883f0a176fbc68.glb,sketchfab,glb,Creative Commons - Attribution,ff8356d6c48f8a38bb4a82439bd65400cb965d96f268b52e78b00585ecb1e626
https://sketchfab.com/3d-models/221e35d143ae4bf3ab78d26f891cb148,/workspace/data/objaverse_xl/hf-objaverse-v1/glbs/000-105/221e35d143ae4bf3ab78d26f891cb148.glb,sketchfab,glb,Creative Commons - Attribution,d9aa8ef3a905b028fe6fd20aaf7ca132e6a796ef2cac8032506519670c8427a3
https://sketchfab.com/3d-models/2d78a535622c4b6bb35745cc934a1a79,/workspace/data/objaverse_xl/hf-objaverse-v1/glbs/000-032/2d78a535622c4b6bb35745cc934a1a79.glb,sketchfab,glb,Creative Commons - Attribution,6f6fbe8232df9e10c5579c2f395f802598d0c9da453f7641758176e534fa6063
https://sketchfab.com/3d-models/ce708933c4654229aff6a049df00b100,/workspace/data/objaverse_xl/hf-objaverse-v1/glbs/000-011/ce708933c4654229aff6a049df00b100.glb,sketchfab,glb,Creative Commons - Attribution,a03935d938637c053f063370203f77b6da1a238d7a9fcfd8c85addd4e11453c0
https://sketchfab.com/3d-models/a60d4a65b5074b69911642a0fda01803,/workspace/data/objaverse_xl/hf-objaverse-v1/glbs/000-049/a60d4a65b5074b69911642a0fda01803.glb,sketchfab,glb,Creative Commons - Attribution,a24152a939f5864854aa39c8c1eb28974493f0b8601886b932b76df8bce4a506
https://sketchfab.com/3d-models/d0ac2e311b4843a8a3a03c615dc2f490,/workspace/data/objaverse_xl/hf-objaverse-v1/glbs/000-141/d0ac2e311b4843a8a3a03c615dc2f490.glb,sketchfab,glb,Creative Commons - Attribution,896efdafb1a6a6ccb211308222d093c3a892dc5bea6cf0f47183a28b91e7d2dd
https://sketchfab.com/3d-models/93df9bab219f4aeea2d0c41531f6c0d1,/workspace/data/objaverse_xl/hf-objaverse-v1/glbs/000-121/93df9bab219f4aeea2d0c41531f6c0d1.glb,sketchfab,glb,Creative Commons - Attribution,362f50f7bb9cbd2567a50a3a41f9330147a72d0130891c9253543ba6a1029190
https://sketchfab.com/3d-models/eb648cb34116438d8e8e68f36ba17b19,/workspace/data/objaverse_xl/hf-objaverse-v1/glbs/000-101/eb648cb34116438d8e8e68f36ba17b19.glb,sketchfab,glb,Creative Commons - Attribution,53d482fcd3fbc579df096563cf21f1142611a8613bc5bd5143bcabcfc339cc49
https://sketchfab.com/3d-models/e9eaf1058fb1464f8c0e121e1ec86f7b,/workspace/data/objaverse_xl/hf-objaverse-v1/glbs/000-104/e9eaf1058fb1464f8c0e121e1ec86f7b.glb,sketchfab,glb,Creative Commons - Attribution,04221fd5d25933b3da82f803c1c1246de92702acbe9cb46bccf3ff4f433946f2
https://sketchfab.com/3d-models/aa1fff0aee424067b0ed20e2b168d435,/workspace/data/objaverse_xl/hf-objaverse-v1/glbs/000-121/aa1fff0aee424067b0ed20e2b168d435.glb,sketchfab,glb,Creative Commons - Attribution,b50a368cf1e53cf24061bac7c8d6c1801a924e51a41cabe113dfd7e3bfb90cf8
https://sketchfab.com/3d-models/ead0f8003cc64a59af36d8374414986e,/workspace/data/objaverse_xl/hf-objaverse-v1/glbs/000-037/ead0f8003cc64a59af36d8374414986e.glb,sketchfab,glb,Creative Commons - Attribution - Share Alike,888e249a47bebd2810c163979c92f3a66f7b90aaeda49a5554b6f376de1e20c1
https://sketchfab.com/3d-models/c84331cb8e424eeda5472c87a0f6cf4c,/workspace/data/objaverse_xl/hf-objaverse-v1/glbs/000-115/c84331cb8e424eeda5472c87a0f6cf4c.glb,sketchfab,glb,Creative Commons - Attribution,ab8d5c94d07ee959ec9ddb36dc171e9e8a727c028b30dbdd53459102545c30f9
https://sketchfab.com/3d-models/0a9cf5a2638f4a59be2d6e5a0d89c1f6,/workspace/data/objaverse_xl/hf-objaverse-v1/glbs/000-048/0a9cf5a2638f4a59be2d6e5a0d89c1f6.glb,sketchfab,glb,Creative Commons - Attribution,bbd709de24bf12ab4c63ca3d796bd4421da06d8795238772a1e314fe38f89b6b
https://sketchfab.com/3d-models/4b9b393636694f0b9c8143cac9ea27d1,/workspace/data/objaverse_xl/hf-objaverse-v1/glbs/000-075/4b9b393636694f0b9c8143cac9ea27d1.glb,sketchfab,glb,Creative Commons - Attribution,e0884751bc2b80fa497e7e51b47b17091d9755a9b0f41b8aeb72dc9b50fdacd4
